filter,level,params,original_count,filtered_count,removed_percent,precision,recall,f1,tp,fp,fn,tn,mean_knn_orig,std_knn_orig,mean_knn_filt,std_knn_filt,knn_change_percent
SOR,soft,"{'nb_neighbors': 20, 'std_ratio': 2.5}",787785,777577,1.29578501748574,0.4012539184952978,0.8208416833667335,0.5390182918805106,4096,6112,894,776683,0.008966116785297676,0.0027989144247403458,0.008830524532482998,0.0019910395778762846,-1.5122739984495512
SOR,moderate,"{'nb_neighbors': 20, 'std_ratio': 2.0}",787785,768051,2.504998191130825,0.23041451302320867,0.9112224448897795,0.3678207409804239,4547,15187,443,767608,0.008966116785297676,0.0027989144247403458,0.00876551350815174,0.0019309969605805519,-2.237348474814398
SOR,aggressive,"{'nb_neighbors': 20, 'std_ratio': 1.5}",787785,747382,5.12868358752705,0.11949607702398336,0.9675350701402805,0.2127200229110215,4828,35575,162,747220,0.008966116785297676,0.0027989144247403458,0.008645774224349806,0.00185772160572479,-3.572812719472445
ROR,soft,"{'radius': 0.025, 'min_neighbors': 3}",787785,787037,0.09494976421231538,0.9946524064171123,0.14909819639278557,0.2593238062042524,744,4,4246,782791,0.008966116785297676,0.0027989144247403458,0.008936546180299735,0.002281459686485201,-0.32980392410713494
ROR,moderate,"{'radius': 0.02, 'min_neighbors': 5}",787785,783865,0.4975976948025207,0.6696428571428571,0.5260521042084169,0.5892255892255892,2625,1295,2365,781500,0.008966116785297676,0.0027989144247403458,0.008894241916004875,0.002279775709640818,-0.8016276278116116
ROR,aggressive,"{'radius': 0.015, 'min_neighbors': 8}",787785,714689,9.278673749817523,0.0657217905220532,0.9627254509018036,0.12304382347667957,4804,68292,186,714503,0.008966116785297676,0.0027989144247403458,0.008534091342177532,0.002350181957989117,-4.818423108525243
LOF,soft,"{'n_neighbors': 20, 'contamination': 0.02}",787785,772029,2.0000380814562346,0.2845899974612846,0.8985971943887776,0.4322761014171406,4484,11272,506,771523,0.008966116785297676,0.0027989144247403458,0.008839348735243972,0.0020692297833525674,-1.4138567797998502
LOF,moderate,"{'n_neighbors': 20, 'contamination': 0.04}",787785,756273,4.000076162912469,0.14905432850977404,0.9412825651302605,0.25735576132814636,4697,26815,293,755980,0.008966116785297676,0.0027989144247403458,0.008806902225636707,0.0020384972981014,-1.7757359565296162
LOF,aggressive,"{'n_neighbors': 20, 'contamination': 0.08}",787785,724762,8.00002538763749,0.0767021563556162,0.9687374749498998,0.1421492949877229,4834,58189,156,724606,0.008966116785297676,0.0027989144247403458,0.008790407069385097,0.0020423060560395504,-1.9597080890213414
DSOR,soft,"{'k': 20, 'range_multiplier': 8.0, 'std_ratio': 2.5}",787785,773354,1.8318449830854844,0.30268172683805694,0.8753507014028056,0.4498223572421605,4368,10063,622,772732,0.008966116785297676,0.0027989144247403458,0.008822527391825674,0.001989082726735206,-1.6014669104851935
DSOR,moderate,"{'k': 20, 'range_multiplier': 8.0, 'std_ratio': 2.0}",787785,764512,2.9542324365150363,0.19963047308039358,0.931062124248497,0.3287690620245551,4646,18627,344,764168,0.008966116785297676,0.0027989144247403458,0.008776926472997038,0.0019548755874658854,-2.1100585329299406
DSOR,aggressive,"{'k': 20, 'range_multiplier': 8.0, 'std_ratio': 1.5}",787785,749323,4.882296565687339,0.1251104986740159,0.9643286573146292,0.22148577740955538,4812,33650,178,749145,0.008966116785297676,0.0027989144247403458,0.008713511892121783,0.0018658294733026885,-2.817327715272517
PCA,soft,"{'k': 30, 'percentile': 99}",787785,779907,1.0000190407281173,0.024117796395024118,0.03807615230460922,0.02953061858874728,190,7688,4800,775107,0.008966116785297676,0.0027989144247403458,0.008984580307377674,0.0028167440780621942,0.2059255140449952
PCA,moderate,"{'k': 30, 'percentile': 97}",787785,764151,3.000057122184352,0.01971735635101972,0.09338677354709418,0.032560089435438797,466,23168,4524,759627,0.008966116785297676,0.0027989144247403458,0.009006607762532013,0.0028411120601059075,0.45159993120693237
PCA,aggressive,"{'k': 30, 'percentile': 95}",787785,748395,5.000095203640587,0.01766945925361767,0.13947895791583168,0.031365479945921586,696,38694,4294,744101,0.008966116785297676,0.0027989144247403458,0.009020999100423966,0.0028691676195169934,0.612107966475349
